nodes,tasks,threads,grid_size,total_time,comp_time,comm_time
1,2,4,4000,13.581921,.395282,13.186639
1,2,8,4000,7.226546,.607490,6.619056
1,2,12,4000,5.189599,.661828,4.527771
1,2,32,4000,2.412441,.684249,1.728192
1,2,64,4000,1.643354,.737483,0.905871
2,4,4,5657,14.053600,.319631,13.733969
2,4,8,5657,7.116158,.539606,6.576552
2,4,12,5657,5.086795,.622979,4.463816
2,4,16,5657,4.159913,.654990,3.504923
2,4,32,5657,2.979723,.738491,2.241232
2,4,64,5657,1.719271,.746902,0.972369
3,6,4,6928,13.894750,.316790,13.577960
3,6,8,6928,7.235967,.547229,6.688738
3,6,12,6928,5.147295,.609187,4.538108
3,6,16,6928,4.063329,.697400,3.365929
3,6,32,6928,3.027760,.765581,2.262179
3,6,64,6928,1.706343,.769533,0.936810
