1000,,57.91
1000,,53.58
1000,,58.58
1000,,48.80
1000,,58.53
2000,,65.57
2000,,65.43
2000,,65.31
2000,,65.36
2000,,65.26
3000,,67.55
3000,,67.57
3000,,67.77
3000,,67.28
3000,,67.39
4000,,67.24
4000,,68.43
4000,,68.09
4000,,68.14
4000,,68.46
5000,,68.02
5000,,67.23
5000,,68.76
5000,,68.76
5000,,68.34
6000,,69.19
6000,,68.87
6000,,68.93
6000,,68.80
6000,,68.44
8000,,69.58
8000,,69.27
8000,,69.00
8000,,69.61
8000,,69.17
10000,,69.06
10000,,69.11
10000,,69.28
10000,,69.32
10000,,69.19
12000,,69.14
12000,,68.91
12000,,67.82
12000,,
12000,,
14000,,
14000,,
14000,,
14000,,
